Sentence,Tags,SentenceFrequency,EnglishTrans,EnglishFreq,SpanishTrans,SpanishFreq
" The thirteen-month sabbatical in Buenos Aires ( 2000–01 ) "" partially funded by an NEH fellowship for college teachers "" sencillamente me transformó la vida y la escritura .", Eng Eng Eng Eng NamedEnt NamedEnt Punct Spn Punct Punct Eng Eng Eng Eng NamedEnt Eng Eng Eng Eng Punct Spn Spn Spn Spn Spn Spn Spn Spn,,"The thirteen-month sabbatical in Buenos Aires ( 2000-01 ) "" partially funded by an NEH fellowship for college teachers "" simply transformed my life and writing.",,,
" This fellowship allowed me to realize a dream I’d cherished as a Cortázar-reading teenager "" and which grew to the II fever-pitch of an obsession when I began to work on Alejandra Pizarnik as a doctoral student and "" later "" in my research on contemporary women poets from Buenos Aires : conocer la Argentina .", Eng Eng Eng Spn Eng Eng Spn Eng Spn Eng Eng Spn Eng Eng Punct Eng Eng Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng NamedEnt NamedEnt Eng Spn Spn Eng Eng Punct Eng Punct Eng Eng Eng Eng Eng Eng Spn Eng NamedEnt NamedEnt Punct Spn Spn NamedEnt,,"This fellowship allowed me to realize a dream I'd cherished as a Cortázar-reading teenager "" and which grew to the II fever-pitch of an obsession when I began to work on Alejandra Pizarnik as a doctoral student and "" later "" in my research on contemporary women poets from Buenos Aires : knowing Argentina .",,,
 I also thank Pomona College’s generous sabbatical leave policy ., Eng Eng Eng NamedEnt Eng Eng Eng Eng Eng,,I also thank Pomona College's generous sabbatical leave policy .,,,
" The research "" thinking "" writing—el diario vivir—in Buenos Aires is everywhere reflected in this book .", Eng Eng Punct Eng Punct Eng Spn Spn NamedEnt NamedEnt Eng Eng Eng Eng Eng Eng,,"The research "" thinking "" writing-el diario vivir-in Buenos Aires is everywhere reflected in this book .",,,
" I will be eternally grateful to my longtime friend and editor Raphael Kadushin "" who recognized in my fragmentary "" bilingual epistolario the makings of a book .", Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng NamedEnt NamedEnt Punct Eng Eng Eng Eng Eng Punct Eng Spn Eng Eng Eng Spn Eng,,"I will be eternally grateful to my longtime friend and editor Raphael Kadushin "" who recognized in my fragmentary "" bilingual epistolary the makings of a book .",,,
" Raphy never let me forget or let go of this book "" even during the last three years "" los más trying de mi vida .", NamedEnt Eng Eng Spn Eng Eng Eng Eng Eng Eng Eng Punct Eng Eng Eng Eng Eng Eng Punct Spn Spn Eng Spn Spn Spn,,"Raphy never let me forget or let go of this book "" even during the last three years "" the most trying of my life .",,,
" At the University of Wisconsin Press I am very grateful to Sheila Moermond "" whose calm "" take-charge professionalism ( and college español !", Eng Eng Eng Eng NamedEnt Eng Eng Eng Eng Eng Eng NamedEnt NamedEnt Punct Eng Eng Punct Eng Eng Punct Eng Eng Spn,,"At the University of Wisconsin Press I am very grateful to Sheila Moermond "" whose calm "" take-charge professionalism ( and college Spanish !",,,
 ) helped smooth this bilingual libro through the editorial process ., Punct Eng Eng Eng Eng Spn Eng Eng Eng Eng,,) helped smooth this bilingual book through the editorial process .,,,
 Thanks also to Bridget Reavy and Carla Aspelmeier ., Eng Eng Eng NamedEnt NamedEnt Eng NamedEnt NamedEnt,,Thanks also to Bridget Reavy and Carla Aspelmeier .,,,
" Sarah Dolinar "" of the Office of Public Affairs at Pomona College "" had the artistic eye "" the graphic design talents "" and the patience to listen to my sueños for the book cover and to transform them into a luscious reality .", NamedEnt NamedEnt Punct Eng Eng Eng Eng NamedEnt Eng Eng NamedEnt Eng Punct Eng Eng Eng Eng Punct Eng Eng Eng Eng Punct Eng Eng Eng Eng Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng Spn Eng Eng,,"Sarah Dolinar "" of the Office of Public Affairs at Pomona College "" had the artistic eye "" the graphic design talents "" and the patience to listen to my dreams for the book cover and to transform them into a luscious reality .",,,
" Gracias de todo corazón "" Sarah .", Spn Spn Spn Spn Punct NamedEnt,,"Thank you from the bottom of my heart "" Sarah .",,,
" An immense debt of gratitude is owed to my incondicionales "" my three “ musos ” : Paul Allatson "" Paul SaintAmour "" and Pablo “ Hugo ” Zambrano .", Eng Eng Eng Eng Spn Eng Eng Eng Eng Spn Punct Eng Eng Punct Spn Punct Punct NamedEnt NamedEnt Punct NamedEnt Eng Punct Eng NamedEnt Punct NamedEnt Punct NamedEnt,,"An immense debt of gratitude is owed to my unconditional "" my three "" musos "" : Paul Allatson "" Paul SaintAmour "" and Pablo "" Hugo "" Zambrano .",,,
" No matter where we were "" norte o sur "" you three read me "" wrote me patrás "" laughed "" badgered "" questioned "" encouraged and supported me and my writing unconditionally .", Spn Eng Eng Eng Eng Punct Spn Spn Spn Punct Eng Eng Eng Spn Punct Eng Spn Spn Punct Eng Punct Eng Punct Eng Punct Eng Eng Eng Spn Eng Eng Eng Eng,,"No matter where we were "" north or south "" you three read me "" wrote me patrás "" laughed "" badgered "" questioned "" encouraged and supported me and my writing unconditionally .",,,
 Mil gracias ., Spn Spn,,Thank you very much.,,,
" I fervently thank my sister "" Sarita Chávez Silverman .", Eng Eng Eng Eng Eng Punct NamedEnt NamedEnt NamedEnt,,"I fervently thank my sister "" Sarita Chávez Silverman .",,,
" She forced me to enter my writing in el andarmagazine’s “ Chicano Literary Excellence Contest ” ( winning first prize allí fue "" más o menos "" el comienzo de todo este wild ride "" que no ?", NamedEnt Eng Spn Eng Eng Eng Eng Eng Spn Eng Punct NamedEnt NamedEnt Eng NamedEnt Punct Punct Eng Eng Eng Spn Spn Punct Spn Spn Spn Punct Spn Spn Spn Spn Spn Eng Eng Punct Spn Spn,,"She forced me to enter my writing in the andarmagazine's "" Chicano Literary Excellence Contest "" ( winning first prize there was "" more or less "" the beginning of this whole wild ride "" that no ?",,,
 ) ., Punct,,) .,,,
 And she’s been a big fan of my idiosyncratic wordplay desde nuestra temprana infancia ., Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng Spn Spn Spn Spn,,And she's been a big fan of my idiosyncratic wordplay since our early childhood.,,,
" I am also deeply grateful to my sister "" Laura Chávez Silverman .", Eng Eng Eng Eng Eng Eng Eng Eng Punct NamedEnt NamedEnt NamedEnt,,"I am also deeply grateful to my sister "" Laura Chávez Silverman .",,,
" Her versión tandiferente of many key moments in our past often shakes me al meollo "" compelling meIII to re-examine mi concepto de la memoria y de sus ( im)posibilidades .", Eng Spn Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng Spn Spn Spn Punct Eng Eng Eng Spn Spn Spn Spn Spn Spn Spn Spn Spn Punct Spn,,"Her tandem version of many key moments in our past often shakes me to the core "" compelling meIII to re-examine my concept of memory and its ( im)possibilities .",,,
" A mi hijo "" Etienne Joseph : el proceso de escribir este libro coincided with your adolescence "" in Buenos Aires and California .", Spn Spn Spn Punct NamedEnt NamedEnt Punct Spn Spn Spn Spn Spn Spn Eng Eng Eng Eng Punct Eng NamedEnt NamedEnt Eng NamedEnt,,"To my son "" Etienne Joseph : the process of writing this book coincided with your adolescence "" in Buenos Aires and California .",,,
 Everything we’ve lived—and loved — through these past couple of years me ha nutrido la escritura ., NamedEnt Spn Eng Eng Punct Eng Eng Eng Eng Eng Eng Spn Spn Spn Spn Spn,,Everything we've lived-and loved-through these past couple of years I have been nourished by writing.,,,
 Gracias ., Spn,,Thank you.,,,
" A mi abuela "" Eunice Chávez "" gracias Agüela .", Spn Spn Spn Punct NamedEnt NamedEnt Punct Spn NamedEnt,,"To my grandmother "" Eunice Chavez "" thank you Agüela .",,,
" For your stories "" your language "" y por ti misma .", Eng Eng Eng Punct Eng Eng Punct Spn Spn Spn Spn,,"For your stories "" your language "" and for yourself .",,,
 Mi deuda más profunda es con Pierre T. Rainville ., Spn Spn Spn Spn Spn Spn NamedEnt Spn NamedEnt,,My deepest debt is to Pierre T. Rainville.,,,
" Thank you for telling me "" in Buenos Aires : thiswriting is what you are meant to be doing with your life .", Eng Eng Eng Eng Spn Punct Eng NamedEnt NamedEnt Punct Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng,,"Thank you for telling me "" in Buenos Aires : thiswriting is what you are meant to be doing with your life .",,,
" Thank you for your editorial "" technical and computer acumen "" without which estos fragmentos could never have taken shape as a book .", Eng Eng Eng Eng Eng Punct Eng Eng Eng Spn Punct Eng Eng Spn Spn Eng Eng Eng Eng Eng Eng Spn Eng,,"Thank you for your editorial "" technical and computer acumen "" without which these fragments could never have taken shape as a book .",,,
" Thank you for your constant apoyo en esta nuestra empresa común : as parents "" teachers "" intellectuals "" and viajeros .", Eng Eng Eng Eng Eng Spn Spn Spn Spn Spn Spn Punct Eng Eng Punct Eng Punct Eng Punct Eng Spn,,"Thank you for your constant support in this our common enterprise : as parents "" teachers "" intellectuals "" and travelers .",,,
" My mother "" June A. Chávez Silverman "" died in August 2003 "" six months before I finished this book .", Eng Eng Punct NamedEnt Spn NamedEnt NamedEnt Punct Eng Eng NamedEnt Spn Punct Eng Eng Eng Eng Eng Eng Eng,,"My mother "" June A. Chávez Silverman "" died in August 2003 "" six months before I finished this book .",,,
" Killer Crónicasis dedicated in loving memory to her "" y a la memoria de mi padre "" Joseph H. Silverman .", NamedEnt NamedEnt Eng Eng Eng Eng Eng Eng Punct Spn Spn Spn Spn Spn Spn Spn Punct NamedEnt Spn NamedEnt,,"Killer Crónicasis dedicated in loving memory to her "" and to the memory of my father "" Joseph H. Silverman .",,,
 Y a Pierre ., Spn Spn NamedEnt,,And Pierre.,,,
" Sin vos "" nada .", Spn Spn Punct Spn,,"Without you "" nothing .",,,
 January 2004 Los Angeles Me han pedido que ( me ) explique aquí ., NamedEnt Spn Spn Spn Spn Spn Spn Spn Punct Spn Punct Spn Spn,,January 2004 Los Angeles I have been asked to explain here.,,,
" I mean "" que ehplique mi lengua "" my use of language .", Eng Eng Punct Spn Spn Spn Spn Punct Eng Eng Eng Eng,,"I mean ""que ehplique mi lengua"" my use of language .",,,
" My odd oral "" transcultural ortografía .", Eng Eng Spn Punct Spn Spn,,"My oral odd "" transcultural spelling .",,,
" My idioma "" ’ tis of thee .", Eng Spn Punct Punct Eng Eng Eng,,"My language "" ' tis of thee .",,,
" Bueno "" mi lengua .", Spn Punct Spn Spn,,"Well, my tongue.",,,
 .,,,.,,,
 .,,,.,,,
 is a hybrid ?, Eng Spn Eng,,is a hybrid ?,,,
 Nah !, NamedEnt,,Nah!,,,
" Demasiado PoMo "" trendy "" too Latino Studies ( even if it’s TRUE ) .", Spn Spn Punct Eng Punct Eng Spn NamedEnt Punct Eng Eng Eng Eng Punct,,"Too much ""trendy"" PoMo too Latino Studies ( even if it's TRUE ) .",,,
" Been there "" done that .", Eng Eng Punct Eng Eng,,"Been there "" done that .",,,
" A verrrrr "" mi lengua .", Spn Spn Punct Spn Spn,,"A verrrrr "" my tongue .",,,
 .,,,.,,,
 .,,,.,,,
 es un palimpsesto ?, Spn Spn Spn,,Is it a palimpsest?,,,
" Sí "" eso está mejor .", Spn Punct Spn Spn Spn,,"Yes"" that's better.",,,
 It’s a sedimentation of ., Eng Spn Eng Eng,,It's a sedimentation of .,,,
 .,,,.,,,
 .,,,.,,,
 hmm ., Eng,,hmm .,,,
 OK ., Spn,,OK.,,,
" Para explicar estos mis flights ( of fancy ) "" tendría que empezar por decir que soy "" it is—my language—cual homing pigeon on acid .", NamedEnt Spn Spn Spn Eng Punct Eng Eng Punct Punct Spn Spn Spn Spn Spn Spn Spn Punct Eng Spn Eng Eng Spn Eng Eng,,"To explain these my flights ( of fancy ) "" I would have to start by saying that I am "" it is-my language-cual homing pigeon on acid .",,,
" Porque I list "" it circles back "" flashes patrás "" wildly inappropriate "" really "" to the last port en el cual eché ancla .", Spn Eng Eng Punct Eng Eng Eng Punct Eng Spn Punct Eng Eng Punct Eng Punct Eng Eng Eng Eng Spn Spn Spn Spn Spn,,"Because I list "" it circles back "" flashes patrons "" wildly inappropriate "" really "" to the last port on which I anchored.",,,
" In other words "" para captar la antaño annoying and now oh so entrañable aspiration and that high "" tirando a nasal "" melancholy "" apocalyptic whine que caracteriza al Río de la Plata "" escribiendo en Los Angeles ( actually "" a little before "" still en Buenos Aires pero sabiendo que me quedaba poco "" tanpoco tiempo looking out my warped-glass "" third-floor balcony window hacia el Jardín Botánico ) "" I began to transcribe an “ h ” where the “ s ” is just a breath "" down there .", Eng Eng Eng Punct Spn Spn Spn Eng Eng Eng Eng Eng Eng Spn Eng Eng Eng Eng Punct Spn Spn Spn Punct Spn Punct Spn Eng Spn Spn Spn Spn Spn Spn NamedEnt Punct Spn Spn Spn Spn Punct Eng Punct Spn Eng Eng Punct Eng Spn NamedEnt NamedEnt Spn Spn Spn Spn Spn Spn Punct Spn Spn Eng Eng Eng Eng Punct Eng Eng Eng Spn Spn Spn NamedEnt Punct Punct Eng Eng Eng Eng Eng Punct Spn Punct Eng Eng Punct Eng Punct Eng Eng Spn Eng Punct Eng Eng,,"In other words "" to capture the once annoying and now oh so endearing aspiration and that high "" throwing a nasal "" melancholy "" apocalyptic whine that characterizes the Rio de la Plata "" writing in Los Angeles ( actually "" a little before "" still in Buenos Aires but knowing that I had little "" time left looking out my warped-glass "" third-floor balcony window towards the Botanical Garden ) "" I began to transcribe an "" h "" where the "" s "" is just a breath "" down there .",,,
 Ehto ., Spn,,Ehto.,,,
 Queréh ?, Spn,,Queréh?,,,
 Ehplicar ., Spn,,Ehplicar .,,,
" O ponía la “ sh ” o “ zh ” instead of “ y ” or “ ll "" ” para transmitir la realidad fonética de los northern suburbs de Buenos Aires .", Spn Spn Spn Punct Spn Punct Spn Punct Spn Punct Eng Eng Punct Spn Punct Eng Punct Spn Punct Punct Spn Spn Spn Spn Spn Spn Spn Eng Eng Spn NamedEnt NamedEnt,,"Or he put the ""sh"" or ""zh"" instead of ""and"" or ""ll"" to convey the phonetic reality of the northern suburbs of Buenos Aires .",,,
 Sha ., NamedEnt,,Shah.,,,
 Shuvia ., NamedEnt,,Shuvia .,,,
 Te shamo luego ., Spn Eng Spn,,I'll shamo you later.,,,
" Ever daddy’s girl "" supongo "" ehtudiante de la tradición oral .", NamedEnt Eng Eng Punct Spn Punct Spn Spn Spn Spn Spn,,"Ever daddy's girl "" I guess "" ehtudiante of the oral tradition .",,,
 Heredé su crackshot oído también ., Spn Spn Eng Spn Spn,,I inherited his crackshot ear too.,,,
" Ex-estudiante "" too "" de los lingüista-fonetistas donde hice mi B.A. ( gracias Tracy Terrell and Ricardo Barrutia "" q.e.p.d ; gracias María Herrera-Sobek ) "" I learned their lessons well .", Spn Punct Eng Punct Spn Spn Spn Spn Spn Spn NamedEnt Punct Spn NamedEnt NamedEnt Eng NamedEnt NamedEnt Punct Spn Punct Spn NamedEnt Spn Punct Punct Eng Eng Eng Eng Eng,,"Ex-student ""too"" of the linguist-phoneticians where I did my B.A. (thanks Tracy Terrell and Ricardo Barrutia "" q.e.p.d ; thanks María Herrera-Sobek ) "" I learned their lessons well .",,,
 I can’t not write it like I hear it ., Eng Spn Eng Eng Eng Eng Eng Eng Eng,,I can't not write it like I hear it.,,,
" So "" en Buenos Aires I often wrote con la “ th ” for the final Castilian “ d ” : fond remnants ( reliquias ?", Eng Punct Spn NamedEnt NamedEnt Eng Eng Eng Spn Spn Punct Eng Punct Eng Eng Spn NamedEnt Punct Spn Punct Punct Eng Eng Punct Spn,,"So "" in Buenos Aires I often wrote with the "" th "" for the final Castilian "" d "" : fond remnants ( relics ?",,,
 ) de mi infancia en Madrith ., Punct Spn Spn Spn Spn NamedEnt,,) from my childhood in Madrith.,,,
" Yeah "" otros tics y quirks began to surface from layers below "" like that : esa unvoiced interdental from the heart of la Madre Patria "" de Gachupilandia .", NamedEnt Punct Spn Eng Spn Eng Eng Eng Eng Eng Eng Eng Punct Eng Eng Punct Spn Eng Eng Eng Eng Eng Eng Spn Spn NamedEnt Punct Spn NamedEnt,,"Yeah "" other tics and quirks began to surface from layers below "" like that : that unvoiced interdental from the heart of the Motherland "" of Gachupilandia .",,,
" I’ve never been able to get rid of it del todo "" coño !", Spn Eng Eng Eng Eng Eng Eng Eng Eng Spn Spn Punct Spn,,"I've never been able to get rid of it at all "" pussy !",,,
" Instead of the nice "" crisp "" occlusive final “ d "" ” como en todas las novelas on Univisión or Telemundo .", Eng Eng Eng Eng Punct Eng Punct Eng Spn Punct Spn Punct Punct Spn Spn Spn Spn Spn Eng Spn Eng NamedEnt,,"Instead of the nice "" crisp "" occlusive final "" d "" "" as in all the novels on Univision or Telemundo .",,,
" Simón "" esa “ d ” sería más normal en una hablante authentically hispano/hablante "" or Chicana "" que no ?", NamedEnt Punct Spn Punct Spn Punct Spn Spn Eng Spn Spn Spn Eng Spn Punct Eng Spn Punct Spn Spn,,"Simon ""that"" would be more normal in an authentically Spanish/chicana/o speaker than not?",,,
